admin1,MMWRyear,MMWRweek,,
Haut-Katanga,2018,6,,
Haut-Katanga,2018,4,,
Haut-Katanga,2018,3,,
Haut-Katanga,2019,51,,
Haut-Katanga,2019,50,,
Haut-Katanga,2019,49,,
Haut-Katanga,2019,47,,
Haut-Katanga,2019,46,,
Haut-Katanga,2019,45,,
Haut-Katanga,2019,42,,
Haut-Katanga,2019,41,,
Haut-Katanga,2019,40,,
Haut-Katanga,2019,39,,
Haut-Katanga,2019,34,,
Haut-Katanga,2019,31,,
Haut-Katanga,2019,28,,
Haut-Katanga,2019,26,,
Haut-Katanga,2019,25,,
Haut-Katanga,2019,24,,
Haut-Katanga,2019,23,,
Haut-Katanga,2019,22,,
Haut-Katanga,2019,21,,
Haut-Katanga,2019,20,,
Haut-Katanga,2019,19,,
Haut-Katanga,2019,15,,
Haut-Katanga,2019,14,,
Haut-Katanga,2019,13,,
Haut-Katanga,2019,9,,
Haut-Katanga,2019,5,,
Haut-Katanga,2019,4,,
Haut-Katanga,2019,3,,
Haut-Katanga,2019,2,,
Haut-Katanga,2019,1,,
Haut-Katanga,2020,20,,
Haut-Katanga,2020,19,,
Haut-Katanga,2020,17,,
Haut-Katanga,2020,14,,
Haut-Katanga,2020,13,,
Haut-Katanga,2020,12,,
Haut-Katanga,2020,11,,
Haut-Katanga,2020,10,,
Haut-Katanga,2020,5,,
Haut-Katanga,2020,4,,
Haut-Katanga,2020,3,,
Haut-Lomami,2014,49,,
Haut-Lomami,2014,43,,
Haut-Lomami,2014,38,,
Haut-Lomami,2014,37,,
Haut-Lomami,2014,31,,
Haut-Lomami,2014,30,,
Haut-Lomami,2014,29,,
Haut-Lomami,2014,14,,
Haut-Lomami,2014,11,,
Haut-Lomami,2014,9,,
Haut-Lomami,2016,44,,
Haut-Lomami,2016,42,,
Haut-Lomami,2016,38,,
Haut-Lomami,2016,33,,
Haut-Lomami,2016,24,,
Haut-Lomami,2016,23,,
Haut-Lomami,2017,51,,
Haut-Lomami,2017,21,,
Haut-Lomami,2017,15,,
Haut-Lomami,2017,12,,
Haut-Lomami,2019,48,,
Haut-Lomami,2019,45,,
Haut-Lomami,2019,29,,
Haut-Lomami,2020,19,,
Ituri,2011,51,,
Ituri,2011,44,,
Ituri,2011,43,,
Ituri,2011,42,,
Ituri,2011,41,,
Ituri,2011,40,,
Ituri,2011,39,,
Ituri,2011,38,,
Ituri,2011,37,,
Ituri,2011,36,,
Ituri,2011,34,,
Ituri,2011,31,,
Ituri,2011,30,,
Ituri,2011,27,,
Ituri,2011,23,,
Ituri,2011,22,,
Ituri,2011,21,,
Ituri,2011,20,,
Ituri,2011,19,,
Ituri,2011,18,,
Ituri,2011,16,,
Ituri,2011,14,,
Ituri,2011,13,,
Ituri,2011,9,,
Ituri,2011,8,,
Ituri,2011,3,,
Ituri,2011,2,,
Ituri,2011,1,,
Ituri,2012,51,,
Ituri,2012,50,,
Ituri,2012,49,,
Ituri,2012,48,,
Ituri,2012,47,,
Ituri,2012,46,,
Ituri,2012,45,,
Ituri,2012,44,,
Ituri,2012,43,,
Ituri,2012,42,,
Ituri,2012,39,,
Ituri,2012,38,,
Ituri,2012,37,,
Ituri,2012,36,,
Ituri,2012,35,,
Ituri,2012,34,,
Ituri,2012,33,,
Ituri,2012,32,,
Ituri,2012,31,,
Ituri,2012,30,,
Ituri,2012,28,,
Ituri,2012,27,,
Ituri,2012,26,,
Ituri,2012,24,,
Ituri,2012,22,,
Ituri,2012,21,,
Ituri,2012,20,,
Ituri,2012,18,,
Ituri,2012,15,,
Ituri,2012,11,,
Ituri,2012,10,,
Ituri,2012,8,,
Ituri,2012,7,,
Ituri,2012,1,,
Ituri,2013,50,,
Ituri,2013,48,,
Ituri,2013,47,,
Ituri,2013,46,,
Ituri,2013,44,,
Ituri,2013,43,,
Ituri,2013,42,,
Ituri,2013,41,,
Ituri,2013,40,,
Ituri,2013,39,,
Ituri,2013,38,,
Ituri,2013,35,,
Ituri,2013,34,,
Ituri,2013,33,,
Ituri,2013,32,,
Ituri,2013,31,,
Ituri,2013,29,,
Ituri,2013,27,,
Ituri,2013,26,,
Ituri,2013,23,,
Ituri,2013,21,,
Ituri,2013,18,,
Ituri,2013,16,,
Ituri,2013,15,,
Ituri,2013,14,,
Ituri,2013,11,,
Ituri,2013,9,,
Ituri,2013,8,,
Ituri,2013,7,,
Ituri,2013,6,,
Ituri,2013,4,,
Ituri,2013,2,,
Ituri,2015,52,,
Ituri,2015,51,,
Ituri,2015,50,,
Ituri,2015,49,,
Ituri,2015,48,,
Ituri,2015,46,,
Ituri,2015,45,,
Ituri,2015,44,,
Ituri,2015,43,,
Ituri,2015,42,,
Ituri,2015,41,,
Ituri,2015,40,,
Ituri,2015,39,,
Ituri,2015,38,,
Ituri,2015,36,,
Ituri,2015,35,,
Ituri,2015,34,,
Ituri,2015,31,,
Ituri,2015,30,,
Ituri,2015,29,,
Ituri,2015,28,,
Ituri,2015,27,,
Ituri,2015,26,,
Ituri,2015,24,,
Ituri,2015,23,,
Ituri,2015,22,,
Ituri,2015,21,,
Ituri,2015,20,,
Ituri,2015,19,,
Ituri,2015,18,,
Ituri,2015,17,,
Ituri,2015,16,,
Ituri,2015,15,,
Ituri,2015,14,,
Ituri,2015,13,,
Ituri,2015,12,,
Ituri,2015,11,,
Ituri,2015,10,,
Ituri,2015,9,,
Ituri,2015,8,,
Ituri,2015,7,,
Ituri,2015,6,,
Ituri,2015,5,,
Ituri,2015,4,,
Ituri,2015,2,,
Ituri,2016,52,,
Ituri,2016,49,,
Ituri,2016,48,,
Ituri,2016,46,,
Ituri,2016,45,,
Ituri,2016,44,,
Ituri,2016,43,,
Ituri,2016,42,,
Ituri,2016,41,,
Ituri,2016,40,,
Ituri,2016,37,,
Ituri,2016,36,,
Ituri,2016,35,,
Ituri,2016,34,,
Ituri,2016,33,,
Ituri,2016,31,,
Ituri,2016,30,,
Ituri,2016,29,,
Ituri,2016,28,,
Ituri,2016,27,,
Ituri,2016,26,,
Ituri,2016,25,,
Ituri,2016,23,,
Ituri,2016,22,,
Ituri,2016,21,,
Ituri,2016,20,,
Ituri,2016,19,,
Ituri,2016,18,,
Ituri,2016,16,,
Ituri,2016,15,,
Ituri,2016,14,,
Ituri,2016,13,,
Ituri,2016,12,,
Ituri,2016,11,,
Ituri,2016,10,,
Ituri,2016,9,,
Ituri,2016,8,,
Ituri,2016,6,,
Ituri,2016,5,,
Ituri,2016,4,,
Ituri,2016,3,,
Ituri,2016,2,,
Ituri,2016,1,,
Ituri,2017,52,,
Ituri,2017,51,,
Ituri,2017,50,,
Ituri,2017,49,,
Ituri,2017,46,,
Ituri,2017,45,,
Ituri,2017,44,,
Ituri,2017,43,,
Ituri,2017,41,,
Ituri,2017,40,,
Ituri,2017,38,,
Ituri,2017,37,,
Ituri,2017,33,,
Ituri,2017,31,,
Ituri,2017,30,,
Ituri,2017,29,,
Ituri,2017,28,,
Ituri,2017,26,,
Ituri,2017,25,,
Ituri,2017,24,,
Ituri,2017,23,,
Ituri,2017,22,,
Ituri,2017,20,,
Ituri,2017,19,,
Ituri,2017,18,,
Ituri,2017,17,,
Ituri,2017,16,,
Ituri,2017,15,,
Ituri,2017,13,,
Ituri,2017,12,,
Ituri,2017,11,,
Ituri,2017,10,,
Ituri,2017,9,,
Ituri,2017,8,,
Ituri,2017,7,,
Ituri,2017,6,,
Ituri,2017,5,,
Ituri,2017,3,,
Ituri,2017,2,,
Ituri,2018,50,,
Ituri,2018,49,,
Ituri,2018,48,,
Ituri,2018,45,,
Ituri,2018,44,,
Ituri,2018,43,,
Ituri,2018,42,,
Ituri,2018,41,,
Ituri,2018,40,,
Ituri,2018,39,,
Ituri,2018,38,,
Ituri,2018,37,,
Ituri,2018,36,,
Ituri,2018,35,,
Ituri,2018,34,,
Ituri,2018,33,,
Ituri,2018,32,,
Ituri,2018,31,,
Ituri,2018,30,,
Ituri,2018,29,,
Ituri,2018,28,,
Ituri,2018,27,,
Ituri,2018,25,,
Ituri,2018,24,,
Ituri,2018,22,,
Ituri,2018,21,,
Ituri,2018,20,,
Ituri,2018,19,,
Ituri,2018,18,,
Ituri,2018,17,,
Ituri,2018,16,,
Ituri,2018,15,,
Ituri,2018,14,,
Ituri,2018,12,,
Ituri,2018,11,,
Ituri,2018,10,,
Ituri,2018,9,,
Ituri,2018,8,,
Ituri,2018,7,,
Ituri,2018,6,,
Ituri,2018,5,,
Ituri,2018,4,,
Ituri,2018,3,,
Ituri,2018,2,,
Ituri,2018,1,,
Kasaï,2017,45,,
Kasaï,2017,43,,
Kasaï,2017,31,,
Kasaï,2017,28,,
Kasaï,2017,20,,
Kasaï,2017,19,,
Kasaï,2017,18,,
Kasaï,2017,17,,
Kasaï,2017,16,,
Kasaï,2017,15,,
Kasaï,2017,14,,
Kasaï,2017,13,,
Kasaï,2017,12,,
Kasaï,2019,50,,
Kasaï,2019,48,,
Kasaï,2019,42,,
Kasaï,2019,39,,
Kasaï,2019,37,,
Kasaï,2019,30,,
Kasaï,2019,29,,
Kasaï,2019,23,,
Kasaï,2019,10,,
Kasaï,2019,9,,
Kasaï,2019,8,,
Kasaï,2019,7,,
Kasaï,2019,6,,
Kasaï,2019,5,,
Kasaï,2019,4,,
Kasaï,2019,2,,
Kasaï,2019,1,,
Kasaï-Oriental,2018,50,,
Kasaï-Oriental,2018,48,,
Kasaï-Oriental,2018,43,,
Kasaï-Oriental,2018,36,,
Kasaï-Oriental,2018,9,,
Kasaï-Oriental,2018,4,,
Kasaï-Oriental,2018,3,,
Kasaï-Oriental,2020,19,,
Kasaï-Oriental,2020,15,,
Kasaï-Oriental,2020,14,,
Kasaï-Oriental,2020,10,,
Kasaï-Oriental,2020,7,,
Kasaï-Oriental,2020,4,,
Kinshasa,2011,51,,
Kinshasa,2011,50,,
Kinshasa,2011,49,,
Kinshasa,2011,48,,
Kinshasa,2011,47,,
Kinshasa,2011,46,,
Kinshasa,2011,43,,
Kinshasa,2011,42,,
Kinshasa,2011,41,,
Kinshasa,2011,40,,
Kinshasa,2011,39,,
Kinshasa,2011,36,,
Kinshasa,2011,35,,
Kinshasa,2011,34,,
Kinshasa,2011,33,,
Kinshasa,2011,32,,
Kinshasa,2011,30,,
Kinshasa,2011,27,,
Kinshasa,2011,22,,
Kinshasa,2011,18,,
Kinshasa,2011,17,,
Kinshasa,2011,16,,
Kinshasa,2011,9,,
Kinshasa,2011,5,,
Kinshasa,2011,2,,
Kinshasa,2012,52,,
Kinshasa,2012,48,,
Kinshasa,2012,47,,
Kinshasa,2012,44,,
Kinshasa,2012,43,,
Kinshasa,2012,42,,
Kinshasa,2012,41,,
Kinshasa,2012,40,,
Kinshasa,2012,37,,
Kinshasa,2012,33,,
Kinshasa,2012,30,,
Kinshasa,2012,28,,
Kinshasa,2012,25,,
Kinshasa,2012,22,,
Kinshasa,2012,21,,
Kinshasa,2012,19,,
Kinshasa,2012,12,,
Kinshasa,2012,11,,
Kinshasa,2012,10,,
Kinshasa,2012,7,,
Kinshasa,2012,6,,
Kinshasa,2012,4,,
Kinshasa,2016,52,,
Kinshasa,2016,51,,
Kinshasa,2016,50,,
Kinshasa,2016,48,,
Kinshasa,2016,46,,
Kinshasa,2016,45,,
Kinshasa,2016,44,,
Kinshasa,2016,43,,
Kinshasa,2016,42,,
Kinshasa,2016,41,,
Kinshasa,2016,39,,
Kinshasa,2016,38,,
Kinshasa,2016,36,,
Kinshasa,2016,35,,
Kinshasa,2016,34,,
Kinshasa,2016,33,,
Kinshasa,2016,32,,
Kinshasa,2016,31,,
Kinshasa,2016,30,,
Kinshasa,2016,27,,
Kinshasa,2016,26,,
Kinshasa,2016,25,,
Kinshasa,2016,23,,
Kinshasa,2016,22,,
Kinshasa,2016,21,,
Kinshasa,2016,20,,
Kinshasa,2016,19,,
Kinshasa,2016,17,,
Kinshasa,2016,16,,
Kinshasa,2016,12,,
Kinshasa,2016,11,,
Kinshasa,2016,10,,
Kinshasa,2016,7,,
Kinshasa,2016,5,,
Kinshasa,2016,4,,
Kinshasa,2016,3,,
Kinshasa,2016,1,,
Kinshasa,2017,52,,
Kinshasa,2017,50,,
Kinshasa,2017,49,,
Kinshasa,2017,48,,
Kinshasa,2017,44,,
Kinshasa,2017,43,,
Kinshasa,2017,42,,
Kinshasa,2017,39,,
Kinshasa,2017,38,,
Kinshasa,2017,32,,
Kinshasa,2017,31,,
Kinshasa,2017,29,,
Kinshasa,2017,28,,
Kinshasa,2017,26,,
Kinshasa,2017,23,,
Kinshasa,2017,22,,
Kinshasa,2017,21,,
Kinshasa,2017,20,,
Kinshasa,2017,19,,
Kinshasa,2017,15,,
Kinshasa,2017,14,,
Kinshasa,2017,13,,
Kinshasa,2017,10,,
Kinshasa,2017,9,,
Kinshasa,2017,8,,
Kinshasa,2017,7,,
Kinshasa,2017,5,,
Kinshasa,2018,52,,
Kinshasa,2018,51,,
Kinshasa,2018,50,,
Kinshasa,2018,49,,
Kinshasa,2018,48,,
Kinshasa,2018,47,,
Kinshasa,2018,46,,
Kinshasa,2018,45,,
Kinshasa,2018,44,,
Kinshasa,2018,43,,
Kinshasa,2018,42,,
Kinshasa,2018,41,,
Kinshasa,2018,39,,
Kinshasa,2018,38,,
Kinshasa,2018,37,,
Kinshasa,2018,36,,
Kinshasa,2018,32,,
Kinshasa,2018,31,,
Kinshasa,2018,26,,
Kinshasa,2018,25,,
Kinshasa,2018,24,,
Kinshasa,2018,21,,
Kinshasa,2018,20,,
Kinshasa,2018,19,,
Kinshasa,2018,18,,
Kinshasa,2018,10,,
Kinshasa,2018,9,,
Kinshasa,2018,8,,
Kinshasa,2018,7,,
Kinshasa,2018,6,,
Kinshasa,2018,5,,
Kinshasa,2018,4,,
Kinshasa,2018,2,,
Kinshasa,2018,1,,
Kongo-Central,2012,45,,
Kongo-Central,2012,39,,
Kongo-Central,2012,7,,
Kongo-Central,2017,48,,
Kongo-Central,2017,46,,
Kongo-Central,2017,38,,
