epi_week_1,epi_week_2,,,
2016_7,319,,,
2016_8,320,,,
2016_9,321,,,
2016_10,322,,,
2016_11,323,,,
2016_12,324,,,
2016_13,325,,,
2016_14,326,,,
2016_15,327,,,
2016_16,328,,,
2016_17,329,,,
2016_18,330,,,
2016_19,331,,,
2016_20,332,,,
2016_21,333,,,
2016_22,334,,,
2016_23,335,,,
2016_24,336,,,
2016_25,337,,,
2016_26,338,,,
2016_27,339,,,
2016_28,340,,,
2016_29,341,,,
2016_30,342,,,
2016_31,343,,,
2016_32,344,,,
2016_33,345,,,
2016_34,346,,,
2016_35,347,,,
2016_36,348,,,
2016_37,349,,,
2016_38,350,,,
2016_39,351,,,
2016_40,352,,,
2016_41,353,,,
2016_42,354,,,
2016_43,355,,,
2016_44,356,,,
2016_45,357,,,
2016_46,358,,,
2016_47,359,,,
2016_48,360,,,
2016_49,361,,,
2016_50,362,,,
2016_51,363,,,
2016_52,364,,,
2017_1,365,,,
2017_2,366,,,
2017_3,367,,,
2017_4,368,,,
2017_5,369,,,
2017_6,370,,,
2017_7,371,,,
2017_8,372,,,
2017_9,373,,,
2017_10,374,,,
2017_11,375,,,
2017_12,376,,,
2017_13,377,,,
2017_14,378,,,
2017_15,379,,,
2017_16,380,,,
2017_17,381,,,
2017_18,382,,,
2017_19,383,,,
2017_20,384,,,
2017_21,385,,,
2017_22,386,,,
2017_23,387,,,
2017_24,388,,,
2017_25,389,,,
2017_26,390,,,
2017_27,391,,,
2017_28,392,,,
2017_29,393,,,
2017_30,394,,,
2017_31,395,,,
2017_32,396,,,
2017_33,397,,,
2017_34,398,,,
2017_35,399,,,
2017_36,400,,,
2017_37,401,,,
2017_38,402,,,
2017_39,403,,,
2017_40,404,,,
2017_41,405,,,
2017_42,406,,,
2017_43,407,,,
2017_44,408,,,
2017_45,409,,,
2017_46,410,,,
2017_47,411,,,
2017_48,412,,,
2017_49,413,,,
2017_50,414,,,
2017_51,415,,,
2017_52,416,,,
2018_1,417,,,
2018_2,418,,,
2018_3,419,,,
2018_4,420,,,
2018_5,421,,,
2018_6,422,,,
2018_7,423,,,
2018_8,424,,,
2018_9,425,,,
2018_10,426,,,
2018_11,427,,,
2018_12,428,,,
2018_13,429,,,
2018_14,430,,,
2018_15,431,,,
2018_16,432,,,
2018_17,433,,,
2018_18,434,,,
2018_19,435,,,
2018_20,436,,,
2018_21,437,,,
2018_22,438,,,
2018_23,439,,,
2018_24,440,,,
2018_25,441,,,
2018_26,442,,,
2018_27,443,,,
2018_28,444,,,
2018_29,445,,,
2018_30,446,,,
2018_31,447,,,
2018_32,448,,,
2018_33,449,,,
2018_34,450,,,
2018_35,451,,,
2018_36,452,,,
2018_37,453,,,
2018_38,454,,,
2018_39,455,,,
2018_40,456,,,
2018_41,457,,,
2018_42,458,,,
2018_43,459,,,
2018_44,460,,,
2018_45,461,,,
2018_46,462,,,
2018_47,463,,,
2018_48,464,,,
2018_49,465,,,
2018_50,466,,,
2018_51,467,,,
2018_52,468,,,
2019_1,469,,,
2019_2,470,,,
2019_3,471,,,
2019_4,472,,,
2019_5,473,,,
2019_6,474,,,
2019_7,475,,,
2019_8,476,,,
2019_9,477,,,
2019_10,478,,,
2019_11,479,,,
2019_12,480,,,
2019_13,481,,,
2019_14,482,,,
2019_15,483,,,
2019_16,484,,,
2019_17,485,,,
2019_18,486,,,
2019_19,487,,,
2019_20,488,,,
2019_21,489,,,
2019_22,490,,,
2019_23,491,,,
2019_24,492,,,
2019_25,493,,,
2019_26,494,,,
2019_27,495,,,
2019_28,496,,,
2019_29,497,,,
2019_30,498,,,
2019_31,499,,,
2019_32,500,,,
2019_33,501,,,
2019_34,502,,,
2019_35,503,,,
2019_36,504,,,
2019_37,505,,,
2019_38,506,,,
2019_39,507,,,
2019_40,508,,,
2019_41,509,,,
2019_42,510,,,
2019_43,511,,,
2019_44,512,,,
2019_45,513,,,
2019_46,514,,,
2019_47,515,,,
2019_48,516,,,
2019_49,517,,,
2019_50,518,,,
2019_51,519,,,
2019_52,520,,,
2020_1,521,,,
2020_2,522,,,
2020_3,523,,,
2020_4,524,,,
2020_5,525,,,
2020_6,526,,,
2020_7,527,,,
2020_8,528,,,
2020_9,529,,,
2020_10,530,,,
2020_11,531,,,
2020_12,532,,,
2020_13,533,,,
2020_14,534,,,
2020_15,535,,,
2020_16,536,,,
2020_17,537,,,
2020_18,538,,,
2020_19,539,,,
2020_20,540,,,
