province,obvs_start,obvs_end,outbreak,exp_start,exp_end
Equateur,2010_1,2020_47,2016_14,2017_47,2017_47
Equateur,2010_1,2020_47,2016_14,2018_4,2018_10
Equateur,2010_1,2020_47,2016_14,2018_23,2018_23
Equateur,2010_1,2020_47,2016_14,2018_36,2018_36
Equateur,2010_1,2020_47,2016_14,2019_1,2019_2
Equateur,2010_1,2020_47,2016_14,2019_20,2019_20
Equateur,2010_1,2020_47,2016_14,2019_29,2019_30
Equateur,2010_1,2020_47,2016_14,2019_40,2019_40
Equateur,2010_1,2020_47,2016_14,2020_9,2020_9
Equateur,2010_1,2020_47,2016_14,2020_19,2020_20
Equateur,2010_1,2020_47,2016_19,2010_13,2010_14
Equateur,2010_1,2020_47,2016_19,2011_18,2011_21
Equateur,2010_1,2020_47,2016_19,2011_41,2011_41
Equateur,2010_1,2020_47,2016_19,2011_50,2012_6
Equateur,2010_1,2020_47,2016_19,2012_25,2012_29
Equateur,2010_1,2020_47,2016_19,2012_40,2012_42
Equateur,2010_1,2020_47,2016_19,2012_49,2012_52
Equateur,2010_1,2020_47,2016_19,2013_11,2013_11
Equateur,2010_1,2020_47,2016_19,2014_10,2014_10
Equateur,2010_1,2020_47,2016_19,2014_24,2014_30
Equateur,2010_1,2020_47,2016_19,2014_38,2014_40
Equateur,2010_1,2020_47,2016_19,2015_3,2015_21
Equateur,2010_1,2020_47,2016_19,2015_30,2015_33
Equateur,2010_1,2020_47,2016_19,2015_46,2015_46
Equateur,2010_1,2020_47,2016_19,2016_2,2016_2
Equateur,2010_1,2020_47,2016_19,2016_21,2016_21
Equateur,2010_1,2020_47,2016_19,2016_32,2016_40
Equateur,2010_1,2020_47,2016_19,2016_52,2017_4
Equateur,2010_1,2020_47,2016_19,2017_15,2017_31
Equateur,2010_1,2020_47,2016_19,2017_47,2017_47
Equateur,2010_1,2020_47,2016_19,2018_4,2018_10
Equateur,2010_1,2020_47,2016_19,2018_23,2018_23
Equateur,2010_1,2020_47,2016_19,2018_36,2018_36
Equateur,2010_1,2020_47,2016_19,2019_1,2019_2
Equateur,2010_1,2020_47,2016_19,2019_20,2019_20
Equateur,2010_1,2020_47,2016_19,2019_29,2019_30
Equateur,2010_1,2020_47,2016_19,2019_40,2019_40
Equateur,2010_1,2020_47,2016_19,2020_9,2020_9
Equateur,2010_1,2020_47,2016_19,2020_19,2020_20
Equateur,2010_1,2020_47,2016_21,2010_13,2010_14
Equateur,2010_1,2020_47,2016_21,2011_18,2011_21
Equateur,2010_1,2020_47,2016_21,2011_41,2011_41
Equateur,2010_1,2020_47,2016_21,2011_50,2012_6
Equateur,2010_1,2020_47,2016_21,2012_25,2012_29
Equateur,2010_1,2020_47,2016_21,2012_40,2012_42
Equateur,2010_1,2020_47,2016_21,2012_49,2012_52
Equateur,2010_1,2020_47,2016_21,2013_11,2013_11
Equateur,2010_1,2020_47,2016_21,2014_10,2014_10
Equateur,2010_1,2020_47,2016_21,2014_24,2014_30
Equateur,2010_1,2020_47,2016_21,2014_38,2014_40
Equateur,2010_1,2020_47,2016_21,2015_3,2015_21
Equateur,2010_1,2020_47,2016_21,2015_30,2015_33
Equateur,2010_1,2020_47,2016_21,2015_46,2015_46
Equateur,2010_1,2020_47,2016_21,2016_2,2016_2
Equateur,2010_1,2020_47,2016_21,2016_21,2016_21
Equateur,2010_1,2020_47,2016_21,2016_32,2016_40
Equateur,2010_1,2020_47,2016_21,2016_52,2017_4
Equateur,2010_1,2020_47,2016_21,2017_15,2017_31
Equateur,2010_1,2020_47,2016_21,2017_47,2017_47
Equateur,2010_1,2020_47,2016_21,2018_4,2018_10
Equateur,2010_1,2020_47,2016_21,2018_23,2018_23
Equateur,2010_1,2020_47,2016_21,2018_36,2018_36
Equateur,2010_1,2020_47,2016_21,2019_1,2019_2
Equateur,2010_1,2020_47,2016_21,2019_20,2019_20
Equateur,2010_1,2020_47,2016_21,2019_29,2019_30
Equateur,2010_1,2020_47,2016_21,2019_40,2019_40
Equateur,2010_1,2020_47,2016_21,2020_9,2020_9
Equateur,2010_1,2020_47,2016_21,2020_19,2020_20
Equateur,2010_1,2020_47,2016_42,2010_13,2010_14
Equateur,2010_1,2020_47,2016_42,2011_18,2011_21
Equateur,2010_1,2020_47,2016_42,2011_41,2011_41
