province,obvs_start,obvs_end,outbreak,exp_start,exp_end
Equateur,2010_1,2020_47,2011_34,2014_38,2014_40
Equateur,2010_1,2020_47,2011_34,2015_3,2015_21
Equateur,2010_1,2020_47,2011_34,2015_30,2015_33
Equateur,2010_1,2020_47,2011_34,2015_46,2015_46
Equateur,2010_1,2020_47,2011_34,2016_2,2016_2
Equateur,2010_1,2020_47,2011_34,2016_21,2016_21
Equateur,2010_1,2020_47,2011_34,2016_32,2016_40
Equateur,2010_1,2020_47,2011_34,2016_52,2017_4
Equateur,2010_1,2020_47,2011_34,2017_15,2017_31
Equateur,2010_1,2020_47,2011_34,2017_47,2017_47
Equateur,2010_1,2020_47,2011_34,2018_4,2018_10
Equateur,2010_1,2020_47,2011_34,2018_23,2018_23
Equateur,2010_1,2020_47,2011_34,2018_36,2018_36
Equateur,2010_1,2020_47,2011_34,2019_1,2019_2
Equateur,2010_1,2020_47,2011_34,2019_20,2019_20
Equateur,2010_1,2020_47,2011_34,2019_29,2019_30
Equateur,2010_1,2020_47,2011_34,2019_40,2019_40
Equateur,2010_1,2020_47,2011_34,2020_9,2020_9
Equateur,2010_1,2020_47,2011_34,2020_19,2020_20
Equateur,2010_1,2020_47,2011_34,2010_13,2010_14
Equateur,2010_1,2020_47,2011_34,2011_18,2011_21
Equateur,2010_1,2020_47,2011_34,2011_41,2011_41
Equateur,2010_1,2020_47,2011_34,2011_50,2012_6
Equateur,2010_1,2020_47,2011_34,2012_25,2012_29
Equateur,2010_1,2020_47,2011_34,2012_40,2012_42
Equateur,2010_1,2020_47,2011_34,2012_49,2012_52
Equateur,2010_1,2020_47,2011_34,2013_11,2013_11
Equateur,2010_1,2020_47,2011_34,2014_10,2014_10
Equateur,2010_1,2020_47,2011_34,2014_24,2014_30
Equateur,2010_1,2020_47,2011_34,2014_38,2014_40
Equateur,2010_1,2020_47,2011_34,2015_3,2015_21
Equateur,2010_1,2020_47,2011_34,2015_30,2015_33
Equateur,2010_1,2020_47,2011_34,2015_46,2015_46
Equateur,2010_1,2020_47,2011_34,2016_2,2016_2
Equateur,2010_1,2020_47,2011_34,2016_21,2016_21
Equateur,2010_1,2020_47,2011_34,2016_32,2016_40
Equateur,2010_1,2020_47,2011_34,2016_52,2017_4
Equateur,2010_1,2020_47,2011_34,2017_15,2017_31
Equateur,2010_1,2020_47,2011_34,2017_47,2017_47
Equateur,2010_1,2020_47,2011_34,2018_4,2018_10
Equateur,2010_1,2020_47,2011_34,2018_23,2018_23
Equateur,2010_1,2020_47,2011_34,2018_36,2018_36
Equateur,2010_1,2020_47,2011_34,2019_1,2019_2
Equateur,2010_1,2020_47,2011_34,2019_20,2019_20
Equateur,2010_1,2020_47,2011_34,2019_29,2019_30
Equateur,2010_1,2020_47,2011_34,2019_40,2019_40
Equateur,2010_1,2020_47,2011_34,2020_9,2020_9
Equateur,2010_1,2020_47,2011_34,2020_19,2020_20
Equateur,2010_1,2020_47,2011_38,2010_13,2010_14
Equateur,2010_1,2020_47,2011_38,2011_18,2011_21
Equateur,2010_1,2020_47,2011_38,2011_41,2011_41
Equateur,2010_1,2020_47,2011_38,2011_50,2012_6
Equateur,2010_1,2020_47,2011_38,2012_25,2012_29
Equateur,2010_1,2020_47,2011_38,2012_40,2012_42
Equateur,2010_1,2020_47,2011_38,2012_49,2012_52
Equateur,2010_1,2020_47,2011_38,2013_11,2013_11
Equateur,2010_1,2020_47,2011_38,2014_10,2014_10
Equateur,2010_1,2020_47,2011_38,2014_24,2014_30
Equateur,2010_1,2020_47,2011_38,2014_38,2014_40
Equateur,2010_1,2020_47,2011_38,2015_3,2015_21
Equateur,2010_1,2020_47,2011_38,2015_30,2015_33
Equateur,2010_1,2020_47,2011_38,2015_46,2015_46
Equateur,2010_1,2020_47,2011_38,2016_2,2016_2
Equateur,2010_1,2020_47,2011_38,2016_21,2016_21
Equateur,2010_1,2020_47,2011_38,2016_32,2016_40
Equateur,2010_1,2020_47,2011_38,2016_52,2017_4
Equateur,2010_1,2020_47,2011_38,2017_15,2017_31
Equateur,2010_1,2020_47,2011_38,2017_47,2017_47
Equateur,2010_1,2020_47,2011_38,2018_4,2018_10
Equateur,2010_1,2020_47,2011_38,2018_23,2018_23
Equateur,2010_1,2020_47,2011_38,2018_36,2018_36
Equateur,2010_1,2020_47,2011_38,2019_1,2019_2
Equateur,2010_1,2020_47,2011_38,2019_20,2019_20
Equateur,2010_1,2020_47,2011_38,2019_29,2019_30
Equateur,2010_1,2020_47,2011_38,2019_40,2019_40
Equateur,2010_1,2020_47,2011_38,2020_9,2020_9
Equateur,2010_1,2020_47,2011_38,2020_19,2020_20
Equateur,2010_1,2020_47,2011_39,2010_13,2010_14
Equateur,2010_1,2020_47,2011_39,2011_18,2011_21
Equateur,2010_1,2020_47,2011_39,2011_41,2011_41
Equateur,2010_1,2020_47,2011_39,2011_50,2012_6
Equateur,2010_1,2020_47,2011_39,2012_25,2012_29
Equateur,2010_1,2020_47,2011_39,2012_40,2012_42
Equateur,2010_1,2020_47,2011_39,2012_49,2012_52
Equateur,2010_1,2020_47,2011_39,2013_11,2013_11
Equateur,2010_1,2020_47,2011_39,2014_10,2014_10
Equateur,2010_1,2020_47,2011_39,2014_24,2014_30
Equateur,2010_1,2020_47,2011_39,2014_38,2014_40
Equateur,2010_1,2020_47,2011_39,2015_3,2015_21
Equateur,2010_1,2020_47,2011_39,2015_30,2015_33
Equateur,2010_1,2020_47,2011_39,2015_46,2015_46
Equateur,2010_1,2020_47,2011_39,2016_2,2016_2
Equateur,2010_1,2020_47,2011_39,2016_21,2016_21
Equateur,2010_1,2020_47,2011_39,2016_32,2016_40
Equateur,2010_1,2020_47,2011_39,2016_52,2017_4
Equateur,2010_1,2020_47,2011_39,2017_15,2017_31
Equateur,2010_1,2020_47,2011_39,2017_47,2017_47
Equateur,2010_1,2020_47,2011_39,2018_4,2018_10
Equateur,2010_1,2020_47,2011_39,2018_23,2018_23
Equateur,2010_1,2020_47,2011_39,2018_36,2018_36
Equateur,2010_1,2020_47,2011_39,2019_1,2019_2
Equateur,2010_1,2020_47,2011_39,2019_20,2019_20
Equateur,2010_1,2020_47,2011_39,2019_29,2019_30
Equateur,2010_1,2020_47,2011_39,2019_40,2019_40
Equateur,2010_1,2020_47,2011_39,2020_9,2020_9
Equateur,2010_1,2020_47,2011_39,2020_19,2020_20
Equateur,2010_1,2020_47,2011_49,2010_13,2010_14
Equateur,2010_1,2020_47,2011_49,2011_18,2011_21
Equateur,2010_1,2020_47,2011_49,2011_41,2011_41
Equateur,2010_1,2020_47,2011_49,2011_50,2012_6
Equateur,2010_1,2020_47,2011_49,2012_25,2012_29
Equateur,2010_1,2020_47,2011_49,2012_40,2012_42
Equateur,2010_1,2020_47,2011_49,2012_49,2012_52
Equateur,2010_1,2020_47,2011_49,2013_11,2013_11
Equateur,2010_1,2020_47,2011_49,2014_10,2014_10
Equateur,2010_1,2020_47,2011_49,2014_24,2014_30
Equateur,2010_1,2020_47,2011_49,2014_38,2014_40
Equateur,2010_1,2020_47,2011_49,2015_3,2015_21
Equateur,2010_1,2020_47,2011_49,2015_30,2015_33
Equateur,2010_1,2020_47,2011_49,2015_46,2015_46
Equateur,2010_1,2020_47,2011_49,2016_2,2016_2
Equateur,2010_1,2020_47,2011_49,2016_21,2016_21
Equateur,2010_1,2020_47,2011_49,2016_32,2016_40
Equateur,2010_1,2020_47,2011_49,2016_52,2017_4
Equateur,2010_1,2020_47,2011_49,2017_15,2017_31
Equateur,2010_1,2020_47,2011_49,2017_47,2017_47
Equateur,2010_1,2020_47,2011_49,2018_4,2018_10
Equateur,2010_1,2020_47,2011_49,2018_23,2018_23
Equateur,2010_1,2020_47,2011_49,2018_36,2018_36
Equateur,2010_1,2020_47,2011_49,2019_1,2019_2
Equateur,2010_1,2020_47,2011_49,2019_20,2019_20
Equateur,2010_1,2020_47,2011_49,2019_29,2019_30
Equateur,2010_1,2020_47,2011_49,2019_40,2019_40
Equateur,2010_1,2020_47,2011_49,2020_9,2020_9
Equateur,2010_1,2020_47,2011_49,2020_19,2020_20
Equateur,2010_1,2020_47,2012_7,2010_13,2010_14
Equateur,2010_1,2020_47,2012_7,2011_18,2011_21
Equateur,2010_1,2020_47,2012_7,2011_41,2011_41
Equateur,2010_1,2020_47,2012_7,2011_50,2012_6
Equateur,2010_1,2020_47,2012_7,2012_25,2012_29
Equateur,2010_1,2020_47,2012_7,2012_40,2012_42
Equateur,2010_1,2020_47,2012_7,2012_49,2012_52
Equateur,2010_1,2020_47,2012_7,2013_11,2013_11
Equateur,2010_1,2020_47,2012_7,2014_10,2014_10
Equateur,2010_1,2020_47,2012_7,2014_24,2014_30
Equateur,2010_1,2020_47,2012_7,2014_38,2014_40
Equateur,2010_1,2020_47,2012_7,2015_3,2015_21
Equateur,2010_1,2020_47,2012_7,2015_30,2015_33
Equateur,2010_1,2020_47,2012_7,2015_46,2015_46
Equateur,2010_1,2020_47,2012_7,2016_2,2016_2
Equateur,2010_1,2020_47,2012_7,2016_21,2016_21
Equateur,2010_1,2020_47,2012_7,2016_32,2016_40
Equateur,2010_1,2020_47,2012_7,2016_52,2017_4
Equateur,2010_1,2020_47,2012_7,2017_15,2017_31
Equateur,2010_1,2020_47,2012_7,2017_47,2017_47
Equateur,2010_1,2020_47,2012_7,2018_4,2018_10
Equateur,2010_1,2020_47,2012_7,2018_23,2018_23
Equateur,2010_1,2020_47,2012_7,2018_36,2018_36
Equateur,2010_1,2020_47,2012_7,2019_1,2019_2
Equateur,2010_1,2020_47,2012_7,2019_20,2019_20
Equateur,2010_1,2020_47,2012_7,2019_29,2019_30
Equateur,2010_1,2020_47,2012_7,2019_40,2019_40
Equateur,2010_1,2020_47,2012_7,2020_9,2020_9
Equateur,2010_1,2020_47,2012_7,2020_19,2020_20
Equateur,2010_1,2020_47,2012_7,2010_13,2010_14
Equateur,2010_1,2020_47,2012_7,2011_18,2011_21
Equateur,2010_1,2020_47,2012_7,2011_41,2011_41
Equateur,2010_1,2020_47,2012_7,2011_50,2012_6
Equateur,2010_1,2020_47,2012_7,2012_25,2012_29
Equateur,2010_1,2020_47,2012_7,2012_40,2012_42
Equateur,2010_1,2020_47,2012_7,2012_49,2012_52
Equateur,2010_1,2020_47,2012_7,2013_11,2013_11
Equateur,2010_1,2020_47,2012_7,2014_10,2014_10
Equateur,2010_1,2020_47,2012_7,2014_24,2014_30
Equateur,2010_1,2020_47,2012_7,2014_38,2014_40
Equateur,2010_1,2020_47,2012_7,2015_3,2015_21
Equateur,2010_1,2020_47,2012_7,2015_30,2015_33
Equateur,2010_1,2020_47,2012_7,2015_46,2015_46
Equateur,2010_1,2020_47,2012_7,2016_2,2016_2
Equateur,2010_1,2020_47,2012_7,2016_21,2016_21
Equateur,2010_1,2020_47,2012_7,2016_32,2016_40
Equateur,2010_1,2020_47,2012_7,2016_52,2017_4
Equateur,2010_1,2020_47,2012_7,2017_15,2017_31
Equateur,2010_1,2020_47,2012_7,2017_47,2017_47
Equateur,2010_1,2020_47,2012_7,2018_4,2018_10
Equateur,2010_1,2020_47,2012_7,2018_23,2018_23
Equateur,2010_1,2020_47,2012_7,2018_36,2018_36
Equateur,2010_1,2020_47,2012_7,2019_1,2019_2
Equateur,2010_1,2020_47,2012_7,2019_20,2019_20
Equateur,2010_1,2020_47,2012_7,2019_29,2019_30
Equateur,2010_1,2020_47,2012_7,2019_40,2019_40
Equateur,2010_1,2020_47,2012_7,2020_9,2020_9
Equateur,2010_1,2020_47,2012_7,2020_19,2020_20
Equateur,2010_1,2020_47,2012_15,2010_13,2010_14
Equateur,2010_1,2020_47,2012_15,2011_18,2011_21
Equateur,2010_1,2020_47,2012_15,2011_41,2011_41
Equateur,2010_1,2020_47,2012_15,2011_50,2012_6
Equateur,2010_1,2020_47,2012_15,2012_25,2012_29
Equateur,2010_1,2020_47,2012_15,2012_40,2012_42
Equateur,2010_1,2020_47,2012_15,2012_49,2012_52
Equateur,2010_1,2020_47,2012_15,2013_11,2013_11
Equateur,2010_1,2020_47,2012_15,2014_10,2014_10
Equateur,2010_1,2020_47,2012_15,2014_24,2014_30
Equateur,2010_1,2020_47,2012_15,2014_38,2014_40
Equateur,2010_1,2020_47,2012_15,2015_3,2015_21
Equateur,2010_1,2020_47,2012_15,2015_30,2015_33
Equateur,2010_1,2020_47,2012_15,2015_46,2015_46
Equateur,2010_1,2020_47,2012_15,2016_2,2016_2
Equateur,2010_1,2020_47,2012_15,2016_21,2016_21
Equateur,2010_1,2020_47,2012_15,2016_32,2016_40
Equateur,2010_1,2020_47,2012_15,2016_52,2017_4
Equateur,2010_1,2020_47,2012_15,2017_15,2017_31
Equateur,2010_1,2020_47,2012_15,2017_47,2017_47
Equateur,2010_1,2020_47,2012_15,2018_4,2018_10
Equateur,2010_1,2020_47,2012_15,2018_23,2018_23
Equateur,2010_1,2020_47,2012_15,2018_36,2018_36
Equateur,2010_1,2020_47,2012_15,2019_1,2019_2
Equateur,2010_1,2020_47,2012_15,2019_20,2019_20
Equateur,2010_1,2020_47,2012_15,2019_29,2019_30
Equateur,2010_1,2020_47,2012_15,2019_40,2019_40
Equateur,2010_1,2020_47,2012_15,2020_9,2020_9
Equateur,2010_1,2020_47,2012_15,2020_19,2020_20
Equateur,2010_1,2020_47,2012_20,2010_13,2010_14
Equateur,2010_1,2020_47,2012_20,2011_18,2011_21
Equateur,2010_1,2020_47,2012_20,2011_41,2011_41
Equateur,2010_1,2020_47,2012_20,2011_50,2012_6
Equateur,2010_1,2020_47,2012_20,2012_25,2012_29
Equateur,2010_1,2020_47,2012_20,2012_40,2012_42
Equateur,2010_1,2020_47,2012_20,2012_49,2012_52
Equateur,2010_1,2020_47,2012_20,2013_11,2013_11
Equateur,2010_1,2020_47,2012_20,2014_10,2014_10
Equateur,2010_1,2020_47,2012_20,2014_24,2014_30
Equateur,2010_1,2020_47,2012_20,2014_38,2014_40
Equateur,2010_1,2020_47,2012_20,2015_3,2015_21
Equateur,2010_1,2020_47,2012_20,2015_30,2015_33
Equateur,2010_1,2020_47,2012_20,2015_46,2015_46
Equateur,2010_1,2020_47,2012_20,2016_2,2016_2
Equateur,2010_1,2020_47,2012_20,2016_21,2016_21
Equateur,2010_1,2020_47,2012_20,2016_32,2016_40
Equateur,2010_1,2020_47,2012_20,2016_52,2017_4
Equateur,2010_1,2020_47,2012_20,2017_15,2017_31
Equateur,2010_1,2020_47,2012_20,2017_47,2017_47
Equateur,2010_1,2020_47,2012_20,2018_4,2018_10
Equateur,2010_1,2020_47,2012_20,2018_23,2018_23
Equateur,2010_1,2020_47,2012_20,2018_36,2018_36
Equateur,2010_1,2020_47,2012_20,2019_1,2019_2
Equateur,2010_1,2020_47,2012_20,2019_20,2019_20
Equateur,2010_1,2020_47,2012_20,2019_29,2019_30
Equateur,2010_1,2020_47,2012_20,2019_40,2019_40
Equateur,2010_1,2020_47,2012_20,2020_9,2020_9
Equateur,2010_1,2020_47,2012_20,2020_19,2020_20
Equateur,2010_1,2020_47,2012_29,2010_13,2010_14
Equateur,2010_1,2020_47,2012_29,2011_18,2011_21
Equateur,2010_1,2020_47,2012_29,2011_41,2011_41
Equateur,2010_1,2020_47,2012_29,2011_50,2012_6
Equateur,2010_1,2020_47,2012_29,2012_25,2012_29
Equateur,2010_1,2020_47,2012_29,2012_40,2012_42
Equateur,2010_1,2020_47,2012_29,2012_49,2012_52
Equateur,2010_1,2020_47,2012_29,2013_11,2013_11
Equateur,2010_1,2020_47,2012_29,2014_10,2014_10
Equateur,2010_1,2020_47,2012_29,2014_24,2014_30
Equateur,2010_1,2020_47,2012_29,2014_38,2014_40
Equateur,2010_1,2020_47,2012_29,2015_3,2015_21
Equateur,2010_1,2020_47,2012_29,2015_30,2015_33
Equateur,2010_1,2020_47,2012_29,2015_46,2015_46
Equateur,2010_1,2020_47,2012_29,2016_2,2016_2
Equateur,2010_1,2020_47,2012_29,2016_21,2016_21
Equateur,2010_1,2020_47,2012_29,2016_32,2016_40
Equateur,2010_1,2020_47,2012_29,2016_52,2017_4
Equateur,2010_1,2020_47,2012_29,2017_15,2017_31
Equateur,2010_1,2020_47,2012_29,2017_47,2017_47
Equateur,2010_1,2020_47,2012_29,2018_4,2018_10
Equateur,2010_1,2020_47,2012_29,2018_23,2018_23
Equateur,2010_1,2020_47,2012_29,2018_36,2018_36
Equateur,2010_1,2020_47,2012_29,2019_1,2019_2
Equateur,2010_1,2020_47,2012_29,2019_20,2019_20
Equateur,2010_1,2020_47,2012_29,2019_29,2019_30
Equateur,2010_1,2020_47,2012_29,2019_40,2019_40
Equateur,2010_1,2020_47,2012_29,2020_9,2020_9
Equateur,2010_1,2020_47,2012_29,2020_19,2020_20
Equateur,2010_1,2020_47,2016_14,2010_13,2010_14
Equateur,2010_1,2020_47,2016_14,2011_18,2011_21
Equateur,2010_1,2020_47,2016_14,2011_41,2011_41
Equateur,2010_1,2020_47,2016_14,2011_50,2012_6
Equateur,2010_1,2020_47,2016_14,2012_25,2012_29
Equateur,2010_1,2020_47,2016_14,2012_40,2012_42
Equateur,2010_1,2020_47,2016_14,2012_49,2012_52
Equateur,2010_1,2020_47,2016_14,2013_11,2013_11
Equateur,2010_1,2020_47,2016_14,2014_10,2014_10
Equateur,2010_1,2020_47,2016_14,2014_24,2014_30
Equateur,2010_1,2020_47,2016_14,2014_38,2014_40
Equateur,2010_1,2020_47,2016_14,2015_3,2015_21
Equateur,2010_1,2020_47,2016_14,2015_30,2015_33
Equateur,2010_1,2020_47,2016_14,2015_46,2015_46
Equateur,2010_1,2020_47,2016_14,2016_2,2016_2
Equateur,2010_1,2020_47,2016_14,2016_21,2016_21
Equateur,2010_1,2020_47,2016_14,2016_32,2016_40
Equateur,2010_1,2020_47,2016_14,2016_52,2017_4
Equateur,2010_1,2020_47,2016_14,2017_15,2017_31
