lctn_pr,admin0,admin1,admin2,start_date,end_date,year,month,day,ipcc_region,ipcc_code,lon,lat
14355,COD,katanga,ankorohealthdistrict,2012-11-12,2013-03-24,2012,11,12,S.Eastern-Africa,SEAF,26.6311484357807,-6.98126558242769
14355,COD,katanga,ankorohealthdistrict,2014-10-27,2014-12-21,2014,10,27,S.Eastern-Africa,SEAF,26.6311484357807,-6.98126558242769
14357,COD,katanga,bukamahealthdistrict,2012-04-16,2012-07-08,2012,4,16,Central-Africa,CAF,25.9596512280406,-9.37301735961713
14357,COD,katanga,bukamahealthdistrict,2013-02-04,2013-04-21,2013,2,4,Central-Africa,CAF,25.9596512280406,-9.37301735961713
14357,COD,katanga,bukamahealthdistrict,2014-01-13,2014-04-27,2014,1,13,Central-Africa,CAF,25.9596512280406,-9.37301735961713
14982,COD,katanga,bunkeyahealthdistrict,2014-02-10,2014-06-15,2014,2,10,S.Eastern-Africa,SEAF,26.822484577878,-10.2747333013572
14983,COD,katanga,butumbahealthdistrict,2010-05-24,2010-08-22,2010,5,24,Central-Africa,CAF,26.3679343651804,-8.88649187413751
14983,COD,katanga,butumbahealthdistrict,2012-07-02,2013-05-05,2012,7,2,Central-Africa,CAF,26.3679343651804,-8.88649187413751
14361,COD,katanga,kabondodiandahealthdistrict,2012-04-30,2013-04-28,2012,4,30,Central-Africa,CAF,25.8808931719758,-8.72926166965824
14361,COD,katanga,kabondodiandahealthdistrict,2014-02-03,2014-06-29,2014,2,3,Central-Africa,CAF,25.8808931719758,-8.72926166965824
14364,COD,katanga,kalemiehealthdistrict,2010-03-08,2010-04-18,2010,3,8,S.Eastern-Africa,SEAF,28.8612674283937,-6.28377251927354
14364,COD,katanga,kalemiehealthdistrict,2010-09-13,2011-06-05,2010,9,13,S.Eastern-Africa,SEAF,28.8612674283937,-6.28377251927354
14364,COD,katanga,kalemiehealthdistrict,2011-10-17,2012-06-10,2011,10,17,S.Eastern-Africa,SEAF,28.8612674283937,-6.28377251927354
14364,COD,katanga,kalemiehealthdistrict,2012-11-12,2013-03-24,2012,11,12,S.Eastern-Africa,SEAF,28.8612674283937,-6.28377251927354
14364,COD,katanga,kalemiehealthdistrict,2013-11-04,2014-02-23,2013,11,4,S.Eastern-Africa,SEAF,28.8612674283937,-6.28377251927354
14946,COD,katanga,kapangahealthdistrict,2010-03-01,2010-06-06,2010,3,1,Central-Africa,CAF,22.3658571021801,-8.34373798541525
14946,COD,katanga,kapangahealthdistrict,2010-09-20,2011-03-27,2010,9,20,Central-Africa,CAF,22.3658571021801,-8.34373798541525
14946,COD,katanga,kapangahealthdistrict,2012-09-10,2012-12-16,2012,9,10,Central-Africa,CAF,22.3658571021801,-8.34373798541525
15024,COD,katanga,kapembahealthdistrict,2014-02-03,2014-05-18,2014,2,3,E.Southern-Africa,ESAF,27.8631986773524,-11.7541741368328
14371,COD,katanga,kapolowehealthdistrict,2013-03-04,2013-06-23,2013,3,4,E.Southern-Africa,ESAF,27.0883213387515,-11.214282678154
14375,COD,katanga,kenyahealthdistrict,2013-01-07,2013-06-02,2013,1,7,E.Southern-Africa,ESAF,27.7757195019356,-11.8909903039689
14376,COD,katanga,kikulahealthdistrict,2013-02-18,2013-07-07,2013,2,18,E.Southern-Africa,ESAF,27.2854913322199,-10.5148130588318
